item_category_name,item_category_id,subcategory_id
PC - Гарнитуры/Наушники,0,0
Аксессуары - PS2,1,1
Аксессуары - PS3,2,1
Аксессуары - PS4,3,1
Аксессуары - PSP,4,1
Аксессуары - PSVita,5,1
Аксессуары - XBOX 360,6,1
Аксессуары - XBOX ONE,7,1
Билеты (Цифра),8,2
Доставка товара,9,3
Игровые консоли - PS2,10,1
Игровые консоли - PS3,11,1
Игровые консоли - PS4,12,1
Игровые консоли - PSP,13,1
Игровые консоли - PSVita,14,1
Игровые консоли - XBOX 360,15,1
Игровые консоли - XBOX ONE,16,1
Игровые консоли - Прочие,17,1
Игры - PS2,18,1
Игры - PS3,19,1
Игры - PS4,20,1
Игры - PSP,21,1
Игры - PSVita,22,1
Игры - XBOX 360,23,1
Игры - XBOX ONE,24,1
Игры - Аксессуары для игр,25,1
Игры Android - Цифра,26,1
Игры MAC - Цифра,27,1
Игры PC - Дополнительные издания,28,1
Игры PC - Коллекционные издания,29,1
Игры PC - Стандартные издания,30,1
Игры PC - Цифра,31,1
"Карты оплаты (Кино, Музыка, Игры)",32,4
Карты оплаты - Live!,33,4
Карты оплаты - Live! (Цифра),34,4
Карты оплаты - PSN,35,4
Карты оплаты - Windows (Цифра),36,4
Кино - Blu-Ray,37,5
Кино - Blu-Ray 3D,38,5
Кино - Blu-Ray 4K,39,5
Кино - DVD,40,5
Кино - Коллекционное,41,5
"Книги - Артбуки, энциклопедии",42,6
Книги - Аудиокниги,43,6
Книги - Аудиокниги (Цифра),44,6
Книги - Аудиокниги 1С,45,6
Книги - Бизнес литература,46,6
"Книги - Комиксы, манга",47,6
Книги - Компьютерная литература,48,6
Книги - Методические материалы 1С,49,6
Книги - Открытки,50,6
Книги - Познавательная литература,51,6
Книги - Путеводители,52,6
Книги - Художественная литература,53,6
Книги - Цифра,54,6
Музыка - CD локального производства,55,6
Музыка - CD фирменного производства,56,6
Музыка - MP3,57,7
Музыка - Винил,58,7
Музыка - Музыкальное видео,59,7
Музыка - Подарочные издания,60,7
Подарки - Атрибутика,61,8
"Подарки - Гаджеты, роботы, спорт",62,8
Подарки - Мягкие игрушки,63,8
Подарки - Настольные игры,64,8
Подарки - Настольные игры (компактные),65,8
"Подарки - Открытки, наклейки",66,8
Подарки - Развитие,67,8
"Подарки - Сертификаты, услуги",68,8
Подарки - Сувениры,69,8
Подарки - Сувениры (в навеску),70,8
"Подарки - Сумки, Альбомы, Коврики д/мыши",71,8
Подарки - Фигурки,72,8
Программы - 1С:Предприятие 8,73,9
Программы - MAC (Цифра),74,9
Программы - Для дома и офиса,75,9
Программы - Для дома и офиса (Цифра),76,9
Программы - Обучающие,77,9
Программы - Обучающие (Цифра),78,9
Служебные,79,10
Служебные - Билеты,80,10
Чистые носители (шпиль),81,11
Чистые носители (штучные),82,11
Элементы питания,83,12
